pair_id,idx_a,idx_b,euclidean,geodesic
0,580,435,0.5288939476013184,1.2456408786862185
1,349,184,0.2514990568161011,1.1621338913839903
2,210,27,0.49333199858665466,1.170807670275811
3,51,11,0.12436407804489136,0.9482939811099589
4,802,1238,3.5090601444244385,3.12348794595839
5,1126,1306,1.9747653007507324,2.138007129496721
6,1026,1097,2.511214256286621,2.3863087503305804
7,2028,1863,1.511572003364563,2.356497620540707
8,1797,1736,1.041565179824829,1.5377994524862124
9,1747,2003,0.548253059387207,1.3213045805860715
10,568,1670,1.5658525228500366,2.302815132569273
11,1373,5,1.8915513753890991,3.181312989096597
12,807,1755,2.64558482170105,2.9618258389226506
13,1135,68,2.2808003425598145,3.317253588657334
14,1733,359,1.6462818384170532,2.972549737332913
15,182,1767,4.7883124351501465,4.709651638681916
16,45,1108,3.5151236057281494,4.998556500920592
17,825,57,2.3890626430511475,3.9519956883009275
18,16,1373,3.185673952102661,4.4667304750885695
19,526,1260,5.0292744636535645,6.147661909070975
20,498,835,4.897116661071777,6.10734910863671
21,498,1355,4.972601413726807,6.302945299286738
22,498,833,4.813657283782959,5.984243047868045
23,1207,1891,3.9763541221618652,4.619251286993659
24,498,840,4.937616348266602,6.246534989203045
